,29-Dec-00,31-Mar-01,30-Jun-01,30-Sep-01,31-Dec-01,31-Mar-02,30-Jun-02,30-Sep-02,31-Dec-02,31-Mar-03,30-Jun-03,30-Sep-03,31-Dec-03,31-Mar-04,30-Jun-04,30-Sep-04,31-Dec-04,31-Mar-05,30-Jun-05,30-Sep-05,31-Dec-05,31-Mar-06,30-Jun-06,30-Sep-06,31-Dec-06,31-Mar-07,30-Jun-07,30-Sep-07,31-Dec-07,31-Mar-08,30-Jun-08,30-Sep-08,31-Dec-08,31-Mar-09,30-Jun-09,30-Sep-09,31-Dec-09,31-Mar-10,30-Jun-10,30-Sep-10,31-Dec-10,31-Mar-11,30-Jun-11,30-Sep-11,31-Dec-11,31-Mar-12,30-Jun-12,30-Sep-12,31-Dec-12,31-Mar-13,30-Jun-13,30-Sep-13,31-Dec-13,31-Mar-14,30-Jun-14,30-Sep-14,31-Dec-14,31-Mar-15,30-Jun-15,30-Sep-15,31-Dec-15,31-Mar-16,30-Jun-16,30-Sep-16,31-Dec-16,31-Mar-17,30-Jun-17,30-Sep-17,31-Dec-17,31-Mar-18,30-Jun-18,30-Sep-18,31-Dec-18,31-Mar-19,30-Jun-19,30-Sep-19,31-Dec-19,31-Mar-20,30-Jun-20,30-Sep-20,31-Dec-20,31-Mar-21
COMMUNICATION SERVICES,0.88,12.25,12.08,11.72,10.93,9.71,8.00,7.89,8.98,8.95,9.19,8.68,8.93,8.77,8.45,8.44,8.59,8.36,8.31,8.02,7.71,7.45,7.45,7.46,7.81,7.82,7.86,7.97,8.00,7.49,7.21,7.08,8.07,8.02,7.36,7.17,7.17,6.91,7.07,7.25,7.01,7.18,7.08,7.36,7.36,6.90,7.34,7.44,7.10,7.32,7.55,7.62,7.99,7.75,7.80,7.94,7.81,7.94,8.17,8.49,8.72,9.04,8.84,8.81,8.54,8.61,8.50,8.45,8.29,8.19,8.47,8.23,8.31,8.30,8.35,8.45,8.41,8.80,8.78,8.84,8.90,9.05
CONSUMER DISCRETIONARY,0.39,7.05,7.28,6.53,6.92,7.29,7.49,7.51,6.92,6.91,7.29,7.61,7.52,7.75,8.17,8.14,8.22,8.03,8.02,7.94,7.88,7.86,7.63,7.69,7.88,7.97,7.73,7.36,7.09,7.10,6.45,6.77,6.46,7.03,7.14,7.07,7.16,7.43,7.58,7.87,8.10,7.69,8.14,8.31,8.10,8.63,8.57,8.40,8.91,8.98,9.48,9.74,9.65,9.40,9.23,9.10,9.61,10.03,10.15,10.41,10.46,10.39,9.83,10.07,9.92,9.91,10.02,9.96,10.21,10.61,10.72,10.67,10.47,10.44,10.56,10.61,10.39,10.35,11.23,12.07,12.42,12.29
CONSUMER STAPLES,0.50,8.42,8.40,9.78,9.02,9.52,10.21,11.18,10.34,10.16,9.50,9.32,8.98,9.09,9.01,8.53,8.45,8.57,8.30,8.16,8.28,7.97,8.10,8.29,8.11,8.34,7.98,8.18,8.78,8.85,8.72,10.18,10.98,10.99,10.31,9.87,10.03,10.00,10.43,10.20,9.70,9.32,9.78,10.88,10.83,10.34,10.91,10.72,10.46,10.85,10.43,9.96,9.70,9.61,9.50,9.47,9.65,9.59,9.42,10.15,10.17,10.60,10.99,10.44,9.53,9.60,9.48,8.87,8.87,8.53,8.31,8.09,8.66,8.63,8.51,8.81,8.29,9.12,8.29,8.24,7.64,7.20
ENERGY,0.38,6.34,6.42,6.84,6.74,7.37,8.15,8.08,8.02,8.14,7.56,7.17,7.33,7.26,7.40,8.20,7.82,8.90,9.19,10.07,9.04,9.13,9.74,8.91,8.91,8.82,9.58,9.91,10.89,11.12,13.57,11.59,11.62,12.09,11.45,10.86,10.97,10.53,10.04,10.20,10.92,11.94,11.37,10.82,11.73,10.88,10.58,10.84,10.30,10.02,9.73,9.60,9.44,9.48,10.06,9.29,7.92,7.42,7.21,6.46,6.06,6.33,6.94,6.75,7.21,6.50,5.97,6.24,6.27,6.01,6.73,6.50,5.89,5.99,5.62,5.18,4.92,3.42,3.22,2.48,2.71,3.16
FINANCIALS,3.84,19.62,20.22,20.40,20.20,20.39,21.97,21.24,21.47,20.96,22.26,22.50,22.77,23.14,22.61,22.85,23.28,22.76,22.68,22.46,23.55,23.92,23.84,24.37,24.26,23.73,23.14,22.10,20.77,20.22,18.42,19.86,17.00,15.34,18.02,19.84,18.82,19.35,18.56,18.41,18.00,18.06,17.46,16.01,15.49,16.60,15.91,16.40,17.45,17.54,18.00,18.22,18.44,18.34,17.95,18.16,18.10,17.76,18.16,17.78,17.76,16.30,15.56,16.15,18.10,17.83,17.97,18.08,18.10,17.94,16.77,16.36,16.25,15.62,15.83,15.74,15.73,13.51,12.65,11.86,12.77,13.72
HEALTH CARE,0.79,12.40,12.32,14.50,13.49,13.43,13.01,14.06,13.68,14.15,13.30,12.39,11.97,11.55,11.52,11.22,10.67,10.69,11.05,10.72,10.61,10.28,10.02,10.26,9.62,9.44,9.11,9.07,9.33,9.39,9.40,10.74,12.12,12.07,10.90,10.36,10.28,10.08,10.44,10.02,9.44,9.38,10.00,10.76,10.79,10.26,10.92,10.93,10.78,11.35,11.56,11.41,11.58,12.00,12.02,12.73,13.06,13.71,13.86,13.65,13.86,13.14,13.67,13.00,12.19,12.34,12.67,12.39,11.77,11.71,11.97,12.74,13.36,12.85,12.59,12.43,13.01,14.57,14.11,13.75,12.95,12.41
INDUSTRIALS,91.82,10.65,11.23,10.38,10.55,10.73,10.89,10.69,10.33,10.18,10.29,10.63,10.78,10.76,11.08,11.26,11.27,11.44,11.07,11.11,11.48,11.71,11.72,11.30,11.40,11.74,12.10,12.10,11.93,12.32,11.54,10.95,11.19,10.45,10.58,10.84,10.76,11.21,11.28,11.40,11.61,11.86,11.71,10.94,11.23,11.26,11.10,10.79,11.07,11.15,11.10,11.43,11.57,11.41,11.27,11.07,11.13,11.13,10.84,10.77,10.74,11.07,10.97,11.16,11.23,11.27,11.55,11.66,11.77,11.68,11.23,11.36,10.92,11.11,11.18,11.09,10.99,10.32,10.13,10.43,10.55,10.86
INFORMATION TECHNOLOGY,0.94,13.01,14.10,11.55,14.35,13.41,11.42,10.41,11.49,11.80,11.90,12.71,12.54,12.33,12.27,11.17,11.12,10.44,10.50,10.26,10.24,10.14,9.41,9.67,9.41,9.08,9.48,9.83,9.66,9.23,9.43,9.45,9.12,10.45,10.46,10.26,10.63,10.69,10.70,10.44,10.55,10.27,10.13,10.95,10.77,11.78,11.34,11.20,10.46,10.11,10.14,10.06,10.23,10.32,10.33,10.81,11.29,11.16,11.12,11.39,11.53,11.66,11.25,11.86,11.82,12.43,12.50,12.94,13.38,14.24,14.80,15.57,14.84,15.77,16.17,16.33,17.21,18.90,20.98,21.81,21.78,21.11
MATERIALS,0.19,3.29,3.48,3.52,3.49,3.83,4.26,4.18,4.24,4.13,4.04,4.33,4.61,4.51,4.53,4.87,5.04,5.21,4.88,5.21,5.36,5.60,5.80,5.41,5.70,6.01,6.39,6.79,6.75,7.36,8.26,6.26,5.77,6.39,6.69,6.85,7.38,7.32,7.16,7.53,8.24,8.06,8.03,7.19,7.10,7.03,6.65,6.78,6.92,6.20,5.57,5.79,5.63,5.68,5.64,5.34,5.03,5.03,4.99,4.36,4.33,4.53,4.69,4.93,5.01,5.04,4.88,5.08,5.23,5.07,4.91,4.67,4.61,4.55,4.58,4.38,4.38,4.07,4.32,4.45,4.50,4.52
REAL ESTATE,0.07,1.00,1.01,1.06,0.92,0.95,0.97,1.00,0.94,0.95,1.11,1.23,1.21,1.33,1.44,1.59,1.64,1.59,1.87,1.92,2.01,2.14,2.30,2.45,2.61,2.66,2.43,2.44,2.24,2.29,2.10,2.18,1.93,1.77,2.05,2.14,2.18,2.18,2.33,2.42,2.45,2.40,2.44,2.51,2.55,2.58,2.92,2.96,3.10,3.07,3.02,2.88,2.69,2.71,2.83,2.80,2.99,3.06,3.00,3.22,3.21,3.43,3.56,3.46,3.22,3.21,3.19,3.12,3.09,3.01,3.04,2.86,3.20,3.31,3.24,3.39,3.24,3.18,2.96,2.80,2.65,2.69
