,2001-01-31,2001-03-30,2001-06-29,2001-09-28,2001-12-31,2002-03-29,2002-06-28,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-30,2006-03-31,2006-06-30,2006-09-29,2006-12-29,2007-03-30,2007-06-29,2007-09-28,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-31,2013-03-29,2013-06-28,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-01-29
COMMUNICATION SERVICES,13.45,12.51,12.05,11.7,10.9,9.68,7.97,7.87,8.95,8.93,9.11,8.59,8.84,8.66,8.34,8.33,8.49,8.26,8.21,7.93,7.64,7.38,7.39,7.4,7.76,7.77,7.8,7.91,7.94,7.45,7.18,7.03,8,7.95,7.3,7.12,7.13,6.87,7.03,7.21,6.97,7.14,7.04,7.32,7.32,6.86,7.3,7.41,7.08,7.3,7.52,7.59,7.95,7.71,7.76,7.9,7.78,7.89,8.12,8.45,8.67,9,8.81,8.78,8.51,8.58,8.48,8.43,8.27,8.17,8.45,8.22,8.29,8.28,8.33,8.44,8.4,8.79,8.78,8.84,8.9,8.87
CONSUMER DISCRETIONARY,6.76,7.28,7.32,6.55,6.96,7.32,7.53,7.54,6.95,6.93,7.32,7.64,7.56,7.81,8.21,8.19,8.26,8.08,8.07,7.98,7.91,7.9,7.66,7.72,7.91,7.99,7.76,7.39,7.11,7.12,6.46,6.78,6.47,7.03,7.14,7.07,7.16,7.43,7.6,7.89,8.11,7.71,8.16,8.33,8.11,8.65,8.59,8.42,8.93,9.01,9.51,9.78,9.68,9.44,9.26,9.14,9.65,10.07,10.2,10.45,10.51,10.44,9.86,10.09,9.94,9.93,10.05,9.98,10.23,10.63,10.74,10.68,10.49,10.46,10.57,10.63,10.41,10.36,11.24,12.07,12.42,12.43
CONSUMER STAPLES,7.88,8.66,8.4,9.78,9.02,9.52,10.21,11.18,10.34,10.16,9.5,9.32,8.98,9.09,9.01,8.53,8.45,8.57,8.3,8.16,8.28,7.97,8.1,8.29,8.11,8.33,7.98,8.18,8.78,8.85,8.72,10.18,10.98,10.99,10.31,9.87,10.03,10,10.43,10.2,9.7,9.32,9.78,10.88,10.83,10.34,10.91,10.72,10.46,10.84,10.43,9.96,9.7,9.61,9.5,9.47,9.65,9.59,9.42,10.15,10.17,10.6,10.99,10.44,9.53,9.6,9.48,8.87,8.87,8.53,8.31,8.09,8.66,8.63,8.51,8.81,8.29,9.12,8.29,8.24,7.64,7.39
ENERGY,5.87,6.53,6.42,6.84,6.74,7.37,8.15,8.08,8.02,8.14,7.56,7.17,7.33,7.26,7.4,8.2,7.82,8.9,9.19,10.07,9.04,9.13,9.74,8.91,8.91,8.82,9.58,9.91,10.89,11.12,13.57,11.59,11.62,12.09,11.45,10.86,10.97,10.53,10.04,10.2,10.92,11.94,11.37,10.82,11.73,10.88,10.58,10.84,10.3,10.02,9.73,9.6,9.44,9.48,10.06,9.29,7.92,7.42,7.21,6.46,6.06,6.33,6.94,6.75,7.21,6.5,5.97,6.24,6.27,6.01,6.73,6.5,5.89,5.99,5.62,5.18,4.92,3.42,3.22,2.48,2.71,2.85
FINANCIALS,19.59,20.07,20.22,20.4,20.2,20.39,21.97,21.24,21.47,20.96,22.26,22.5,22.77,23.14,22.61,22.85,23.28,22.76,22.68,22.46,23.55,23.92,23.84,24.37,24.26,23.74,23.14,22.1,20.77,20.22,18.42,19.86,17,15.34,18.02,19.84,18.82,19.35,18.56,18.41,18,18.06,17.46,16.01,15.49,16.6,15.91,16.4,17.45,17.54,18,18.22,18.44,18.34,17.95,18.16,18.1,17.76,18.16,17.78,17.76,16.3,15.56,16.15,18.1,17.83,17.97,18.08,18.07,17.9,16.72,16.3,16.2,15.59,15.78,15.7,15.7,13.47,12.65,11.86,12.77,12.69
HEALTH CARE,11.72,12.73,12.32,14.5,13.49,13.43,13.01,14.06,13.68,14.15,13.31,12.4,11.97,11.56,11.53,11.22,10.68,10.69,11.05,10.73,10.61,10.28,10.02,10.26,9.62,9.44,9.11,9.07,9.33,9.39,9.4,10.74,12.12,12.07,10.9,10.36,10.28,10.08,10.44,10.02,9.44,9.38,10,10.76,10.79,10.26,10.92,10.93,10.78,11.35,11.56,11.41,11.58,12,12.02,12.73,13.06,13.71,13.86,13.65,13.86,13.14,13.67,13,12.19,12.34,12.67,12.39,11.77,11.71,11.97,12.74,13.36,12.85,12.59,12.43,13.01,14.57,14.11,13.75,12.95,13.22
INDUSTRIALS,10.59,11,11.23,10.38,10.55,10.73,10.89,10.69,10.33,10.18,10.33,10.67,10.82,10.82,11.14,11.31,11.33,11.49,11.13,11.16,11.52,11.74,11.75,11.33,11.42,11.76,12.13,12.13,11.95,12.33,11.55,10.98,11.21,10.48,10.59,10.85,10.76,11.2,11.26,11.39,11.58,11.84,11.69,10.94,11.23,11.24,11.09,10.77,11.04,11.12,11.07,11.4,11.54,11.39,11.26,11.06,11.13,11.13,10.84,10.77,10.74,11.07,10.97,11.16,11.23,11.27,11.53,11.64,11.74,11.65,11.21,11.34,10.9,11.09,11.16,11.06,10.94,10.26,10.07,10.38,10.5,10.31
INFORMATION TECHNOLOGY,17.16,13.33,14.1,11.55,14.35,13.41,11.42,10.41,11.49,11.8,11.9,12.71,12.54,12.33,12.27,11.17,11.12,10.44,10.5,10.26,10.24,10.14,9.43,9.69,9.43,9.1,9.5,9.84,9.7,9.26,9.46,9.47,9.16,10.5,10.51,10.31,10.67,10.74,10.76,10.49,10.6,10.32,10.18,10.99,10.81,11.83,11.38,11.23,10.49,10.14,10.17,10.09,10.26,10.35,10.34,10.82,11.29,11.16,11.12,11.39,11.53,11.66,11.25,11.86,11.82,12.43,12.52,12.96,13.43,14.3,14.87,15.65,14.91,15.83,16.25,16.4,17.29,19,21.04,21.86,21.83,21.95
MATERIALS,3.08,3.38,3.48,3.52,3.49,3.83,4.26,4.18,4.24,4.13,4.04,4.33,4.61,4.51,4.53,4.87,5.04,5.21,4.88,5.21,5.36,5.6,5.8,5.41,5.7,6.01,6.39,6.79,6.75,7.36,8.26,6.26,5.77,6.39,6.69,6.85,7.38,7.32,7.16,7.53,8.24,8.06,8.03,7.19,7.1,7.03,6.65,6.78,6.92,6.2,5.57,5.79,5.63,5.68,5.64,5.34,5.03,5.03,4.99,4.36,4.33,4.53,4.69,4.93,5.01,5.04,4.88,5.08,5.23,5.07,4.91,4.67,4.61,4.55,4.58,4.38,4.38,4.07,4.32,4.45,4.5,4.48
REAL ESTATE,0.95,1.02,1.01,1.06,0.92,0.95,0.97,1,0.94,0.95,1.11,1.23,1.21,1.33,1.44,1.59,1.64,1.59,1.87,1.92,2.01,2.14,2.3,2.45,2.61,2.66,2.43,2.44,2.24,2.29,2.1,2.18,1.93,1.77,2.05,2.14,2.18,2.18,2.33,2.42,2.45,2.4,2.44,2.51,2.55,2.58,2.92,2.96,3.1,3.07,3.02,2.88,2.69,2.71,2.83,2.8,2.99,3.06,3,3.22,3.21,3.43,3.56,3.46,3.22,3.21,3.19,3.12,3.09,3.01,3.04,2.86,3.2,3.31,3.24,3.39,3.24,3.18,2.96,2.8,2.65,2.66
