incident_id,date,state,n_killed,,,,,,,,,,,,,,,,
95289,1/1/14,Michigan,0,,,,,,,,,,,,,,,,
92401,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
92383,1/1/14,New York,1,,,,,,,,,,,,,,,,
92142,1/1/14,New York,0,,,,,,,,,,,,,,,,
95261,1/1/14,Missouri,0,,,,,,,,,,,,,,,,
92272,1/1/14,Georgia,0,,,,,,,,,,,,,,,,
92428,1/1/14,New York,0,,,,,,,,,,,,,,,,
94205,1/1/14,Kentucky,0,,,,,,,,,,,,,,,,
92218,1/1/14,Georgia,0,,,,,,,,,,,,,,,,
104905,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
92423,1/1/14,Pennsylvania,0,,,,,,,,,,,,,,,,
94154,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
92215,1/1/14,South Carolina,1,,,,,,,,,,,,,,,,
104022,1/1/14,Maryland,0,,,,,,,,,,,,,,,,
92357,1/1/14,Delaware,1,,,,,,,,,,,,,,,,
92790,1/1/14,Colorado,1,,,,,,,,,,,,,,,,
92213,1/1/14,South Carolina,0,,,,,,,,,,,,,,,,
102729,1/1/14,Missouri,0,,,,,,,,,,,,,,,,
92342,1/1/14,Alabama,1,,,,,,,,,,,,,,,,
92747,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
92153,1/1/14,Louisiana,1,,,,,,,,,,,,,,,,
95266,1/1/14,Utah,0,,,,,,,,,,,,,,,,
92284,1/1/14,Indiana,0,,,,,,,,,,,,,,,,
92578,1/1/14,Louisiana,1,,,,,,,,,,,,,,,,
92623,1/1/14,Illinois,0,,,,,,,,,,,,,,,,
92131,1/1/14,New York,0,,,,,,,,,,,,,,,,
92614,1/1/14,Colorado,0,,,,,,,,,,,,,,,,
92144,1/1/14,New York,0,,,,,,,,,,,,,,,,
92734,1/1/14,Texas,0,,,,,,,,,,,,,,,,
96019,1/1/14,Nebraska,0,,,,,,,,,,,,,,,,
92252,1/1/14,South Carolina,0,,,,,,,,,,,,,,,,
92725,1/1/14,Texas,0,,,,,,,,,,,,,,,,
95622,1/1/14,Massachusetts,0,,,,,,,,,,,,,,,,
92204,1/1/14,Virginia,0,,,,,,,,,,,,,,,,
854799,1/1/14,Florida,0,,,,,,,,,,,,,,,,
92497,1/1/14,Florida,0,,,,,,,,,,,,,,,,
98134,1/1/14,Louisiana,1,,,,,,,,,,,,,,,,
94194,1/1/14,Alabama,0,,,,,,,,,,,,,,,,
92563,1/1/14,Mississippi,1,,,,,,,,,,,,,,,,
92418,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
92282,1/1/14,South Carolina,0,,,,,,,,,,,,,,,,
92315,1/1/14,Wisconsin,0,,,,,,,,,,,,,,,,
92337,1/1/14,Alabama,1,,,,,,,,,,,,,,,,
92328,1/1/14,Arizona,3,,,,,,,,,,,,,,,,
97976,1/1/14,Hawaii,1,,,,,,,,,,,,,,,,
92345,1/1/14,Washington,0,,,,,,,,,,,,,,,,
92479,1/1/14,Florida,0,,,,,,,,,,,,,,,,
92490,1/1/14,Florida,1,,,,,,,,,,,,,,,,
92501,1/1/14,Florida,0,,,,,,,,,,,,,,,,
92117,1/1/14,Kentucky,0,,,,,,,,,,,,,,,,
92540,1/1/14,Florida,1,,,,,,,,,,,,,,,,
92180,1/1/14,Ohio,0,,,,,,,,,,,,,,,,
95264,1/1/14,Kansas,0,,,,,,,,,,,,,,,,
92279,1/1/14,Indiana,1,,,,,,,,,,,,,,,,
92576,1/1/14,Louisiana,0,,,,,,,,,,,,,,,,
92660,1/1/14,Maryland,1,,,,,,,,,,,,,,,,
95209,1/1/14,District of Columbia,0,,,,,,,,,,,,,,,,
92305,1/1/14,West Virginia,0,,,,,,,,,,,,,,,,
151443,1/1/14,Massachusetts,0,,,,,,,,,,,,,,,,
92506,1/1/14,Georgia,0,,,,,,,,,,,,,,,,
93194,1/1/14,Texas,1,,,,,,,,,,,,,,,,
92303,1/1/14,Wisconsin,0,,,,,,,,,,,,,,,,
150404,1/1/14,New Hampshire,0,,,,,,,,,,,,,,,,
92504,1/1/14,Florida,0,,,,,,,,,,,,,,,,
93182,1/1/14,Rhode Island,0,,,,,,,,,,,,,,,,
92238,1/1/14,North Carolina,0,,,,,,,,,,,,,,,,
95287,1/1/14,Arizona,0,,,,,,,,,,,,,,,,
92487,1/1/14,Florida,0,,,,,,,,,,,,,,,,
93067,1/1/14,Ohio,0,,,,,,,,,,,,,,,,
92236,1/1/14,North Carolina,0,,,,,,,,,,,,,,,,
95284,1/1/14,Pennsylvania,0,,,,,,,,,,,,,,,,
92395,1/1/14,New York,1,,,,,,,,,,,,,,,,
92670,1/1/14,Maryland,0,,,,,,,,,,,,,,,,
92194,1/1/14,Virginia,2,,,,,,,,,,,,,,,,
95234,1/1/14,Texas,0,,,,,,,,,,,,,,,,
92393,1/1/14,California,1,,,,,,,,,,,,,,,,
92662,1/1/14,Maryland,1,,,,,,,,,,,,,,,,
92189,1/1/14,Kentucky,0,,,,,,,,,,,,,,,,
92389,1/1/14,California,2,,,,,,,,,,,,,,,,
95232,1/1/14,California,0,,,,,,,,,,,,,,,,
92736,1/1/14,Texas,1,,,,,,,,,,,,,,,,
95281,1/1/14,Washington,0,,,,,,,,,,,,,,,,
92125,1/1/14,Oklahoma,0,,,,,,,,,,,,,,,,
93854,1/1/14,Illinois,0,,,,,,,,,,,,,,,,
92209,1/1/14,North Carolina,0,,,,,,,,,,,,,,,,
92413,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
92744,1/1/14,New Jersey,0,,,,,,,,,,,,,,,,
